95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
71 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 78
85 95 95 95 95 95 95 96 95 95 95 95 96 95 95 95 95 95 96 95 95 95 95 95 95 96 95 95 95 80
85 95 95 95 95 96 95 95 95 96 95 95 95 95 95 96 95 95 95 95 95 95 96 95 95 95 95 95 95 80
87 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 94 95 95 95 80
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 85 95 89 86 88
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 85 95 80 95 95
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 85 95 80 95 95
71 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 88 95 87 86 78
85 95 95 95 95 95 96 95 95 95 96 95 95 95 95 96 95 95 95 95 95 95 95 95 95 95 95 95 95 80
85 95 96 95 95 95 95 95 95 95 95 95 96 95 95 95 95 95 95 95 95 96 95 95 95 95 95 95 95 80
85 95 89 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 88
85 95 87 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 78
85 95 95 95 95 95 95 96 95 95 96 95 95 96 95 96 95 95 95 95 95 96 95 95 95 95 95 95 96 80
85 95 95 95 96 95 95 95 95 95 95 95 95 95 95 95 95 96 95 95 95 95 95 95 95 95 96 95 95 80
87 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 94 95 80
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 85 95 80
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 85 95 80
71 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 88 95 80
85 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 80
85 96 95 89 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 88
85 95 95 80 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
85 95 96 80 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
85 95 95 80 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
85 96 95 87 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 94
85 95 95 95 95 95 95 95 95 96 95 95 95 95 96 95 95 96 95 95 95 95 96 95 95 95 95 95 95 80
85 95 96 95 95 96 95 95 95 95 96 95 95 95 95 95 95 95 95 95 96 95 95 95 95 95 95 95 95 80
85 95 95 95 96 95 95 96 95 95 95 95 96 95 95 96 95 95 95 96 95 95 95 95 95 95 95 95 95 80
87 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 86 88
95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95 95
